name,country,latitude,longitude,Street Adress,price_level,rating,user_ratings_total,province,state
Wendy's,US,33.839726,-83.905798,"4331 Atlanta Hwy, Loganville, GA 30052",2.0,3.7,767.0, Loganville,GA
Wendy's,US,33.699521999999995,-84.17274,"3015 Panola Rd, Lithonia, GA 30038",1.0,3.5,1400.0, Lithonia,GA
Burger King,US,42.547923,-70.942014,"184 Endicott St, Danvers, MA 1923",1.0,3.6,482.0, Danvers,MA
McDonald's,US,41.157059,-81.219054,"6134 State Route 14, Ravenna, OH 44266",1.0,3.5,571.0, Ravenna,OH
Boston Market,US,32.679466999999995,-97.195027,"4402 Little Rd, Arlington, TX 76016",1.0,4.3,1858.0, Arlington,TX
Burger King,US,32.739923,-116.942156,"2992 Jamacha Rd, El Cajon, CA 92019",1.0,3.9,100.0, El Cajon,CA
Boston Market,US,32.80827,-116.97137,"706 Fletcher Pkwy, El Cajon, CA 92020",1.0,3.9,783.0, El Cajon,CA
Burger King,US,32.805945,-116.971542,"822 N Johnson Ave, El Cajon, CA 92020",1.0,3.2,935.0, El Cajon,CA
Carl's Jr.,US,34.091528000000004,-117.43637,"8924 Sierra Ave, Fontana, CA 92335",1.0,3.7,998.0, Fontana,CA
Burger King,US,33.051949,-117.260994,"242 N El Camino Real, Encinitas, CA 92024",2.0,4.8,52.0, Encinitas,CA
Carl's Jr.,US,33.93527552,-118.1238946,"9002 Firestone Blvd, Downey, CA 90241",1.0,4.7,5488.0, Downey,CA
Carl's Jr.,US,33.91684597,-118.1337577,"9110 Imperial Hwy, Downey, CA 90242",1.0,3.6,432.0, Downey,CA
Burger King,US,29.88081,-95.683922,"7011 Barker Cypress Rd, Cypress, TX 77433",1.0,3.5,522.0, Cypress,TX
Boston Market,US,37.946879,-122.060174,"2180 Contra Costa Blvd, Pleasant Hill, CA 94523",1.0,3.8,410.0, Pleasant Hill,CA
Jack in the Box,US,37.695437,-122.081735,"3035 Castro Valley Blvd, Castro Valley, CA 94546",1.0,3.6,676.0, Castro Valley,CA
El Pollo Loco,US,33.894566,-118.220228,"1751 S Alameda St, Compton, CA 90220",1.0,3.6,721.0, Compton,CA
Arby's,US,32.646857000000004,-116.967527,"2244 Otay Lakes Rd, Chula Vista, CA 91915",1.0,4.4,691.0, Chula Vista,CA
Burger King,US,39.76117,-121.842187,"962 East Ave, Chico, CA 95926",1.0,3.9,128.0, Chico,CA
In-N-Out Burger,US,35.1273,-120.598,"1170 W Branch St, Arroyo Grande, CA 93420",1.0,4.6,2928.0, Arroyo Grande,CA
McDonald's,US,36.975287,-121.963929,"1760 41st Ave, Capitola, CA 95010",1.0,3.5,984.0, Capitola,CA
Carl's Jr.,US,34.221478000000005,-119.070243,"401 Las Posas Rd, Camarillo, CA 93010",1.0,3.8,504.0, Camarillo,CA
Del Taco,US,34.867566,-117.114747,"2871 Lenwood Rd, Barstow, CA 92311",1.0,4.5,304.0, Barstow,CA
Del Taco,US,34.077713,-117.996169,"12690 Ramona Blvd, Baldwin Park, CA 91706",1.0,3.6,1206.0, Baldwin Park,CA
McDonald's,US,37.365314,-118.39508,"562 N Main St, Bishop, CA 93514",1.0,3.4,1212.0, Bishop,CA
McDonald's,US,32.07128,-84.216974,"1310 E Lamar St, Americus, GA 31709",1.0,3.8,467.0, Americus,GA
Burger King,US,34.54701,-82.6319,"2009 E Greenville St, Anderson, SC 29621",1.0,3.5,521.0, Anderson,SC
Carl's Jr.,US,34.088183,-118.15143700000002,"2521 W Commonwealth Ave, Alhambra, CA 91803",2.0,4.2,2151.0, Alhambra,CA
Chipotle Mexican Grill,US,34.23765,-118.58919,"9175 De Soto Ave, Chatsworth, CA 91311",1.0,4.4,216.0, Chatsworth,CA
McDonald's,US,34.017911,-85.253614,"328 N Main St, Cedartown, GA 30125",1.0,3.3,161.0, Cedartown,GA
Burger King,US,41.726353,-72.61760799999998,"3025 Main St, Glastonbury, CT 6033",2.0,4.1,656.0, Glastonbury,CT
Boston Market,US,41.720514,-72.614164,"2834 Main St, Glastonbury, CT 6033",1.0,3.8,131.0, Glastonbury,CT
