Count of name,Column Labels,,,,,,,,,
Row Labels,Outside Capital City,Within Capital City,Grand Total,,,,,,,
 Berwyn,2,,2,,,,,,,
 Bethalto,1,,1,,,,,,,
 Bethel Park,2,,2,,,,,,,
 Bethlehem,3,,3,,,,,,,
 Bettendorf,2,,2,,,,,,,
 Beverly,1,,1,,,,,,,
 Big Bear Lake,1,,1,,,,,,,
 Big Rapids,1,,1,,,,,,,
 Big Spring,1,,1,,,,,,,
 Billings,3,,3,,,,,,,
 Biloxi,3,,3,,,,,,,
 Binghamton,3,,3,,,,,,,
 Birch Run,1,,1,,,,,,,
 Birmingham,2,,2,,,,,,,
 Bishop,1,,1,,,,,,,
 Bismarck,,3,3,,,,,,,
 Bixby,1,,1,,,,,,,
 Black Mountain,2,,2,,,,,,,
 Blackfoot,2,,2,,,,,,,
 Blacklick,1,,1,,,,,,,
 Blackwell,1,,1,,,,,,,
 Blackwood,1,,1,,,,,,,
 Bladenboro,1,,1,,,,,,,
 Blair,1,,1,,,,,,,
 Bloomington,5,,5,,,,,,,
 Bloomsburg,2,,2,,,,,,,
 Blountville,3,,3,,,,,,,
 Blue Earth,1,,1,,,,,,,
 Blue Ridge,1,,1,,,,,,,
 Blue Springs,4,,4,,,,,,,
 Bluefield,1,,1,,,,,,,
 Bluffton,1,,1,,,,,,,
 Blytheville,1,,1,,,,,,,
 Blythewood,1,,1,,,,,,,
 Boca Raton,1,,1,,,,,,,
 Boerne,1,,1,,,,,,,
 Bogalusa,1,,1,,,,,,,
 Boiling Springs,3,,3,,,,,,,
 Boise,5,,5,,,,,,,
 Bolingbrook,2,,2,,,,,,,
 Bolivar,1,,1,,,,,,,
 Bonaire,1,,1,,,,,,,
 Bonham,2,,2,,,,,,,
 Bonifay,1,,1,,,,,,,
 Bonita,1,,1,,,,,,,
 Bonner Springs,1,,1,,,,,,,
 Boone,2,,2,,,,,,,
 Boonville,2,,2,,,,,,,
 Bossier City,3,,3,,,,,,,
 Boston,,10,10,,,,,,,
 Boulder,3,,3,,,,,,,
 Boulder City,1,,1,,,,,,,
 Bound Brook,1,,1,,,,,,,
 Bourbonnais,4,,4,,,,,,,
 Bowdon,1,,1,,,,,,,
 Bowie,1,,1,,,,,,,
 Bowling Green,5,,5,,,,,,,
 Boynton Beach,2,,2,,,,,,,
 Bozeman,3,,3,,,,,,,
 Bradenton,6,,6,,,,,,,
 Bradford,2,,2,,,,,,,
 Bradley,2,,2,,,,,,,
 Braidwood,1,,1,,,,,,,
 Brainerd,1,,1,,,,,,,
 Braintree,1,,1,,,,,,,
 Brandon,4,,4,,,,,,,
 Branson,1,,1,,,,,,,
 Brawley,1,,1,,,,,,,
 Brazil,1,,1,,,,,,,
 Brazoria,1,,1,,,,,,,
 Brea,3,,3,,,,,,,
 Breese,1,,1,,,,,,,
 Breezewood,1,,1,,,,,,,
 Breinigsville,1,,1,,,,,,,
 Bremen,1,,1,,,,,,,
 Brentwood,1,,1,,,,,,,
 Brick,1,,1,,,,,,,
 Bridge City,1,,1,,,,,,,
 Bridgeport,2,,2,,,,,,,
 Bridgeton,4,,4,,,,,,,
 Bridgeview,1,,1,,,,,,,
 Bridgeville,3,,3,,,,,,,
 Bridgman,2,,2,,,,,,,
 Brigham City,1,,1,,,,,,,
 Brighton,6,,6,,,,,,,
 Brinkley,1,,1,,,,,,,
 Bristol,3,,3,,,,,,,
 Bristow,1,,1,,,,,,,
 Broadview Heights,2,,2,,,,,,,
 Brockton,4,,4,,,,,,,
 Broken Arrow,1,,1,,,,,,,
 Broken Bow,1,,1,,,,,,,
 Bronx,16,,16,,,,,,,
 Brookfield,2,,2,,,,,,,
 Brookhaven,4,,4,,,,,,,
 Brookings,5,,5,,,,,,,
 Brookline,1,,1,,,,,,,
 Brooklyn,31,,31,,,,,,,
 Brookshire,1,,1,,,,,,,
 Brooksville,1,,1,,,,,,,
 Brookville,2,,2,,,,,,,
 Broomfield,3,,3,,,,,,,
 Broussard,1,,1,,,,,,,
 Brownsburg,3,,3,,,,,,,
 Brownsville,3,,3,,,,,,,
 Brunswick,4,,4,,,,,,,
 Brush,1,,1,,,,,,,
 Bryan,5,,5,,,,,,,
 Bryant,2,,2,,,,,,,
 Bryson City,1,,1,,,,,,,
 Buckeye,3,,3,,,,,,,
 Buckhannon,2,,2,,,,,,,
 Bucyrus,3,,3,,,,,,,
 Buda,1,,1,,,,,,,
 Budd Lake,1,,1,,,,,,,
 Buellton,1,,1,,,,,,,
 Buena Park,4,,4,,,,,,,
 Buffalo,8,,8,,,,,,,
 Buford,5,,5,,,,,,,
 Bulls Gap,1,,1,,,,,,,
 Buna,1,,1,,,,,,,
 Burbank,6,,6,,,,,,,
 Burkburnett,1,,1,,,,,,,
 Burke,2,,2,,,,,,,
 Burleson,3,,3,,,,,,,
 Burley,1,,1,,,,,,,
 Burlingame,1,,1,,,,,,,
 Burlington,9,,9,,,,,,,
 Burnham,1,,1,,,,,,,
 Burnsville,2,,2,,,,,,,
 Burton,1,,1,,,,,,,
 Bushnell,1,,1,,,,,,,
 Butler,3,,3,,,,,,,
 Butte,2,,2,,,,,,,
 Byesville,1,,1,,,,,,,
 Byron,1,,1,,,,,,,
 Cabot,2,,2,,,,,,,
 Cadillac,2,,2,,,,,,,
 Caldwell,3,,3,,,,,,,
 Calera,1,,1,,,,,,,
 Calhan,1,,1,,,,,,,
 Calhoun,2,,2,,,,,,,
 Calhoun City,1,,1,,,,,,,
 Calimesa,2,,2,,,,,,,
 Calumet City,1,,1,,,,,,,
 Camarillo,1,,1,,,,,,,
 Cambridge,9,,9,,,,,,,
 Camby,2,,2,,,,,,,
 Camden,2,,2,,,,,,,
 Cameron,2,,2,,,,,,,
