,Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
8502,8502,41226 US Highway 19 N,Fast Food Restaurant,Tarpon Springs,US,28.1471,-82.7413,KFC,34689,FL,"http://kfc.com,http://www.kfc.com"
8506,8506,5004 Slide Rd,Fast Food Restaurant,Lubbock,US,33.548,-101.9229,KFC,79414,TX,"http://kfc.com,http://www.kfc.com"
8507,8507,907 University Ave,Fast Food Restaurants,Lubbock,US,33.5872,-101.87058,Raising Cane's,79401,TX,http://raisingcanes.com
8512,8512,18203 W Interstate 10,"Fast Food Restaurant, American Restaurant, and Sandwich Place",San Antonio,US,29.613646999999997,-98.60393499999999,Chick-fil-A,78257,TX,"http://www.chick-fil-a.com/therim,http://chick-fil-a.com/therim"
8518,8518,1418 Austin Hwy,Fast Food Restaurant,San Antonio,US,29.49155,-98.4382,Raising Cane's,78209,TX,http://raisingcanes.com
8540,8540,7386 E Shea Blvd,Fast Food Restaurants,Scottsdale,US,33.58229,-111.92203,Raising Cane's,85260,AZ,http://raisingcanes.com
8545,8545,4001 E Anaheim St,Fast Food Restaurants,Long Beach,US,33.782782,-118.14563729999999,KFC,90804,CA,http://www.kfc.com
8549,8549,2201 War Admiral Way,Fast Food Restaurant and American Restaurant,Lexington,US,38.04029133,-84.42822412,Raising Cane's,40509,KY,"http://www.raisingcanes.com,http://raisingcanes.com"
8554,8554,1040 N Bell Blvd,Fried Chicken Joint and Fast Food Restaurant,Cedar Park,US,30.5215,-97.83,KFC,78613,TX,"http://kfc.com,http://www.kfc.com"
8564,8564,1925 7th Ave,Fast Food Restaurant,Marion,US,42.03302,-91.59062,KFC,52302,IA,http://www.kfc.com
8577,8577,3041 W Camp Wisdom Rd,Fast Food Restaurant,Grand Prairie,US,32.64781,-97.05877,Chick-fil-A,75052,TX,http://www.chick-fil-a.com/campwisdom360
8580,8580,1402 W Trade St,Fast Food Restaurants,Charlotte,US,35.236391,-80.85838000000001,Bojangles,28216,NC,"http://www.bojangles.com,https://locations.bojangles.com/nc/charlotte/1402-w-trade-st.html"
8612,8612,810 Canandaigua Rd,Fast Food Restaurant and Mexican Restaurant,Geneva,US,42.85712399,-77.01211988,KFC,14456,NY,"http://kfc.com,http://www.kfc.com"
